url, name, registrar, creation_date, expiration_date, last_updated, registrant name, name_servers
fonts.gstatic.com, gstatic.com, MarkMonitor Inc., 2008-02-11 15:31:25, 2020-02-11 15:31:25, None, , set(), 
i.ytimg.com, ytimg.com, MarkMonitor Inc., 2007-12-11 22:38:13, 2019-12-11 22:38:13, None, , set(), 
yt3.ggpht.com, ggpht.com, MarkMonitor Inc., 2008-01-16 18:55:33, 2020-01-16 18:55:33, None, , set(), 
ad.doubleclick.net, doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, , set(), 
sync.outbrain.com, outbrain.com, Network Solutions, LLC, 2004-08-09 20:58:16, 2023-08-09 20:58:16, None, , set(), 
cr-pall.ladsp.com, ladsp.com, GMO Internet, Inc. d/b/a Onamae.com, 2011-08-12 01:25:28, 2020-08-12 01:25:28, None, So-net.Media.Networks,Corpration, set(), 
tcheck.outbrainimg.com, outbrainimg.com, Network Solutions, LLC, 2018-04-09 18:42:52, 2020-04-09 18:42:52, None, , set(), 
cdn.jsdelivr.net, jsdelivr.net, NameCheap, Inc., 2012-05-16 21:35:05, 2021-05-16 21:35:05, None, WhoisGuard, Inc., set(), 
dpm.demdex.net, demdex.net, Nom-iq Ltd. dba COM LAUDE, 2008-08-12 01:04:44, 2020-08-12 01:04:44, None, Adobe Inc., set(), 
rp.gwallet.com, gwallet.com, GoDaddy.com, LLC, 2008-03-21 18:44:48, 2021-03-21 18:44:48, None, RadiumOne, Inc., set(), 
sb.scorecardresearch.com, scorecardresearch.com, MarkMonitor Inc., 2007-11-01 18:07:51, 2020-11-01 18:07:51, None, , set(), 
match.taboola.com, taboola.com, GoDaddy.com, LLC, 2007-02-23 22:21:41, 2021-02-23 22:21:41, None, Taboola, Inc, set(), 
w.usabilla.com, usabilla.com, Key-Systems GmbH, 2008-10-06 11:20:09, 2020-10-06 11:20:09, None, REDACTED FOR PRIVACY, set(), 
ads.yieldmo.com, yieldmo.com, Amazon Registrar, Inc., 2012-06-05 21:32:27, 2020-06-05 21:32:27, None, Whois Privacy Service, set(), 
api.segment.io, segment.io, Name.com LLC, 2011-10-01 04:10:05, 2021-10-01 04:10:05, None, Segment.io, Inc., set(), 
ps.eyeota.net, eyeota.net, GoDaddy.com, LLC, 2011-09-15 17:17:38, 2023-09-15 17:17:38, None, eyeota Limited, set(), 
image6.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
aa.agkn.com, agkn.com, GoDaddy.com, LLC, 2005-06-09 22:54:35, 2020-09-02 03:59:59, None, Neustar, Inc., set(), 
cdnjs.cloudflare.com, cloudflare.com, CloudFlare, Inc., 2009-02-17 22:07:54, 2024-02-17 22:07:54, None, DATA REDACTED, set(), 
pixel.rubiconproject.com, rubiconproject.com, GoDaddy.com, LLC, 2007-05-02 02:36:31, 2020-05-02 02:36:31, None, The Rubicon Project, Inc., set(), 
www.summerhamster.com, summerhamster.com, NameCheap, Inc., 2017-07-03 12:41:41, 2020-07-03 12:41:41, None, Sourcepoint Technologies Inc, set(), 
bh.contextweb.com, contextweb.com, Network Solutions, LLC, 2000-03-16 19:26:42, 2020-03-16 18:26:42, None, , set(), 
cm.adgrx.com, adgrx.com, GoDaddy.com, LLC, 2011-10-06 22:04:52, 2020-10-06 22:04:52, None, AdGear Technologies Inc., set(), 
match.rundsp.com, rundsp.com, GoDaddy.com, LLC, 2010-07-01 17:49:44, 2022-04-12 11:59:59, None, RUN, set(), 
ib.adnxs.com, adnxs.com, MarkMonitor Inc., 2008-05-27 17:02:39, 2020-05-27 17:02:39, None, , set(), 
cr-p10.ladsp.jp, ladsp.jp, , 2011-08-12 00:00:00, 2020-08-31 00:00:00, 2019-09-01 01:05:08+09:00, So-net.Media.Networks,Corpration, set(), 
px.owneriq.net, owneriq.net, GoDaddy.com, LLC, 2007-10-04 16:47:00, 2020-10-04 16:47:00, None, OwnerIQ, set(), 
sync.mathtag.com, mathtag.com, Tucows Domains Inc., 2007-12-13 20:23:30, 2019-12-13 20:23:30, None, Contact Privacy Inc. Customer 0140394076, set(), 
ads.yahoo.com, yahoo.com, MarkMonitor Inc., 1995-01-18 05:00:00, 2023-01-19 05:00:00, None, , set(), 
pubmatic-match.dotomi.com, dotomi.com, GoDaddy.com, LLC, 2000-08-07 08:53:25, 2027-03-01 11:59:59, None, Conversant LLC, set(), 
js-sec.indexww.com, indexww.com, GoDaddy.com, LLC, 2013-03-28 21:07:45, 2020-03-28 21:07:45, None, Index Exchange Inc., set(), 
trc.taboola.com, taboola.com, GoDaddy.com, LLC, 2007-02-23 22:21:41, 2021-02-23 22:21:41, None, Taboola, Inc, set(), 
eus.rubiconproject.com, rubiconproject.com, GoDaddy.com, LLC, 2007-05-02 02:36:31, 2020-05-02 02:36:31, None, The Rubicon Project, Inc., set(), 
ads.playground.xyz, playground.xyz, Gandi SAS, 2014-06-02 18:49:35, 2020-06-02 23:59:59, 2019-05-04 20:25:23, Playground XYZ, set(), 
analytics.twitter.com, twitter.com, CSC Corporate Domains, Inc., 2000-01-21 16:28:17, 2020-01-21 16:28:17, None, Twitter, Inc., set(), 
www.ugdturner.com, ugdturner.com, CSC Corporate Domains, Inc., 2011-05-03 19:24:10, 2020-05-03 19:24:10, None, Turner Broadcasting System, Inc., set(), 
match.prod.bidr.io, bidr.io, Gandi SAS, 2014-08-30 01:21:23, 2020-08-30 01:21:23, None, Registrant State/Province: Paris, set(), 
us-u.openx.net, openx.net, Tucows Domains Inc., 1996-11-09 05:00:00, 2020-11-08 05:00:00, None, REDACTED FOR PRIVACY, set(), 
c1.adform.net, adform.net, DNC Holdings, Inc., 2002-09-23 13:54:22, 2023-09-23 13:54:27, None, Savvy Investments, LLC Privacy ID# 10439376, set(), 
ade.googlesyndication.com, googlesyndication.com, MarkMonitor Inc., 2003-01-21 06:17:24, 2020-01-21 06:17:23, None, , set(), 
amplify.outbrain.com, outbrain.com, Network Solutions, LLC, 2004-08-09 20:58:16, 2023-08-09 20:58:16, None, , set(), 
px.adhigh.net, adhigh.net, NameCheap, Inc., 2012-10-15 21:08:20, 2024-10-15 21:08:20, None, WhoisGuard, Inc., set(), 
rtb.gumgum.com, gumgum.com, GoDaddy.com, LLC, 2004-04-27 19:04:06, 2020-10-06 11:59:59, None, GumGum, set(), 
pmp.mxptint.net, mxptint.net, GoDaddy.com, LLC, 2007-07-30 02:24:08, 2021-12-02 04:59:59, None, Domains By Proxy, LLC, set(), 
image4.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
b1sync.zemanta.com, zemanta.com, Network Solutions, LLC, 2007-05-03 10:36:08, 2021-05-03 10:36:08, None, , set(), 
img.macromill.com, macromill.com, Firstserver, Inc., 1999-10-28 15:37:17, 2020-10-28 15:37:17, None, Macromill, Inc., set(), 
sync.resetdigital.co:10001, resetdigital.co, , None, None, None, Domains By Proxy, LLC, set(), 
hbopenbid.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
c.amazon-adsystem.com, amazon-adsystem.com, MarkMonitor Inc., 2011-09-16 18:47:08, 2024-09-16 18:47:08, None, , set(), 
cm.eyereturn.com, eyereturn.com, Vitalwerks Internet Solutions, LLC DBA No-IP, 2000-02-15 19:39:44, 2020-02-15 19:39:43, None, eyeReturn Marketing Inc., set(), 
m.adnxs.com, adnxs.com, MarkMonitor Inc., 2008-05-27 17:02:39, 2020-05-27 17:02:39, None, , set(), 
cdn.ampproject.org, ampproject.org, MarkMonitor Inc., 2015-08-31 16:13:25, 2020-08-31 16:13:25, None, Google Inc., set(), 
dt.scanscout.com, scanscout.com, GoDaddy.com, LLC, 2005-05-28 23:22:28, 2020-05-28 23:22:28, None, Tremor Video DSP, set(), 
connect.facebook.net, facebook.net, RegistrarSafe, LLC, 2004-04-01 05:44:24, 2028-04-01 04:44:24, None, Facebook, Inc., set(), 
pixel-sync.sitescout.com, sitescout.com, Network Solutions, LLC, 2000-05-12 20:23:01, 2020-05-12 20:23:01, None, , set(), 
simage2.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
token.rubiconproject.com, rubiconproject.com, GoDaddy.com, LLC, 2007-05-02 02:36:31, 2020-05-02 02:36:31, None, The Rubicon Project, Inc., set(), 
p.rfihub.com, rfihub.com, GoDaddy.com, LLC, 2008-05-14 20:41:14, 2020-05-14 20:41:14, None, Zeta Global, set(), 
pubmatic2waycm-atl.netmng.com, netmng.com, GoDaddy.com, LLC, 2008-12-08 15:14:55, 2019-12-08 15:14:55, None, IgnitionOne, set(), 
idsync.rlcdn.com, rlcdn.com, NameCheap, Inc., 2009-10-20 03:59:44, 2019-11-26 04:59:59, None, WhoisGuard, Inc., set(), 
sync-tm.everesttech.net, everesttech.net, Nom-iq Ltd. dba COM LAUDE, 2003-03-28 23:09:53, 2020-03-28 22:09:53, None, Adobe Inc., set(), 
img.bleacherreport.net, bleacherreport.net, CSC Corporate Domains, Inc., 2008-03-10 16:44:38, 2020-03-10 16:44:38, None, Turner Broadcasting System, Inc., set(), 
x.bidswitch.net, bidswitch.net, GoDaddy.com, LLC, 2012-09-02 23:31:46, 2022-09-02 23:31:46, None, Domains By Proxy, LLC, set(), 
r.dlx.addthis.com, addthis.com, Tucows Domains Inc., 1998-05-26 04:00:00, 2020-05-25 04:00:00, None, REDACTED FOR PRIVACY, set(), 
z.moatads.com, moatads.com, Tucows Domains Inc., 2011-01-20 00:28:41, 2022-04-08 11:59:59, None, REDACTED FOR PRIVACY, set(), 
googleads4.g.doubleclick.net, doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, , set(), 
cx.atdmt.com, atdmt.com, RegistrarSEC LLC, 2001-08-17 22:04:28, 2020-08-17 22:04:28, None, Facebook, Inc., set(), 
assets.bounceexchange.com, bounceexchange.com, GoDaddy.com, LLC, 2010-04-03 15:49:26, 2027-04-03 15:49:26, None, Domains By Proxy, LLC, set(), 
stags.bluekai.com, bluekai.com, Tucows Domains Inc., 2007-07-06 06:09:58, 2020-07-06 06:09:58, None, REDACTED FOR PRIVACY, set(), 
t.co, t.co, , None, None, None, Twitter, Inc., set(), 
simage4.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
secure.adnxs.com, adnxs.com, MarkMonitor Inc., 2008-05-27 17:02:39, 2020-05-27 17:02:39, None, , set(), 
cdn.cookielaw.org, cookielaw.org, NameCheap, Inc., 2011-06-20 12:47:48, 2020-06-20 12:47:48, None, WhoisGuard, Inc., set(), 
inv-nets.admixer.net, admixer.net, GoDaddy.com, LLC, 2007-04-12 09:22:10, 2021-04-12 09:22:10, None, , set(), 
tag.bounceexchange.com, bounceexchange.com, GoDaddy.com, LLC, 2010-04-03 15:49:26, 2027-04-03 15:49:26, None, Domains By Proxy, LLC, set(), 
r.nexac.com, nexac.com, Tucows Domains Inc., 2006-10-31 00:14:41, 2020-10-30 23:14:41, None, REDACTED FOR PRIVACY, set(), 
tags.rd.linksynergy.com, linksynergy.com, CSC Corporate Domains, Inc., 1997-07-22 04:00:00, 2020-07-21 04:00:00, None, Rakuten Marketing, set(), 
tpc.googlesyndication.com, googlesyndication.com, MarkMonitor Inc., 2003-01-21 06:17:24, 2020-01-21 06:17:23, None, , set(), 
sync.1rx.io, 1rx.io, GoDaddy.com, LLC, 2015-05-28 23:01:41, 2020-05-28 23:01:41, None, RhythmOne, set(), 
d23tl967axkois.cloudfront.net, cloudfront.net, MarkMonitor Inc., 2008-04-25 18:25:49, 2024-04-25 18:25:49, None, , set(), 
usher.ttvnw.net, ttvnw.net, MarkMonitor Inc., 2012-12-19 05:29:09, 2019-12-19 05:29:09, None, , set(), 
video-weaver.iad03.hls.ttvnw.net, ttvnw.net, MarkMonitor Inc., 2012-12-19 05:29:09, 2019-12-19 05:29:09, None, , set(), 
d2in0p32vp1pij.cloudfront.net, cloudfront.net, MarkMonitor Inc., 2008-04-25 18:25:49, 2024-04-25 18:25:49, None, , set(), 
